"label","value","chain","chainValue","parentLabel","parentValue","gasUSD","gasUSDPctChange","transactions","transactionsPctChange","activeAddresses","activeAddressesPctChange"
"0x5fcb6fe76d4df79eabf1c48dfcd2f195e6d6c1d3","0x5fcb6fe76d4df79eabf1c48dfcd2f195e6d6c1d3","Ethereum","ethereum","","","5.368017223678487","44.52149364724025","4","-71.428571","1","0.000000"
"0x8d98bc9451147759a1c6080bb98fef88ddb95293","0x8d98bc9451147759a1c6080bb98fef88ddb95293","Ethereum","ethereum","","","5.367863467299383","","3","","2",""
"0x680e3b7c919b973025bcd338a6e57417a60a890c","0x680e3b7c919b973025bcd338a6e57417a60a890c","Ethereum","ethereum","","","5.367795855686508","922.8500538916549","3","50.000000","2","100.000000"
"0x59fa7460bff609304f9558be0dc3baf07f379167","0x59fa7460bff609304f9558be0dc3baf07f379167","Ethereum","ethereum","","","5.367136307345863","","3","","1",""
"0xcc14c12518cc1ded445e990e7ea503683bc7b7dd","0xcc14c12518cc1ded445e990e7ea503683bc7b7dd","Ethereum","ethereum","","","5.367136307345863","","2","","1",""
"0xdb38d5eefa587f7c45c51a1b0ba3e6b20aa9c186","0xdb38d5eefa587f7c45c51a1b0ba3e6b20aa9c186","Ethereum","ethereum","","","5.367136307345863","","3","","1",""
"0x6a23427f3188a5887814a1b657c48269a7f0398e","0x6a23427f3188a5887814a1b657c48269a7f0398e","Ethereum","ethereum","","","5.366139879886391","","3","","1",""
"0x94b5c82a883bb702e548b80945a2d2bf300818f5","0x94b5c82a883bb702e548b80945a2d2bf300818f5","Ethereum","ethereum","","","5.365643933122294","2132.776416427502","3","200.000000","1","0.000000"
"0x47ec7a22b5b192bfbbbb41d82f08f9aeb5520af0","0x47ec7a22b5b192bfbbbb41d82f08f9aeb5520af0","Ethereum","ethereum","","","5.3655377240327695","","6","","2",""
"0x681ac94bcf4fee8640cc714305f8ac4f277ab618","0x681ac94bcf4fee8640cc714305f8ac4f277ab618","Ethereum","ethereum","","","5.365482472901029","","4","","1",""
"0x42cc17217e0e2589ba9fdf7a566464c6ceabeb98","0x42cc17217e0e2589ba9fdf7a566464c6ceabeb98","Ethereum","ethereum","","","5.365345550740402","","4","","2",""
"0x90a1341f3d0fab999d57c684219c958879dbac88","0x90a1341f3d0fab999d57c684219c958879dbac88","Ethereum","ethereum","","","5.365293198297627","","1","","1",""
"0x394f63b7ab18873f50ae28acb04efe7b22a62688","0x394f63b7ab18873f50ae28acb04efe7b22a62688","Ethereum","ethereum","","","5.365210367367908","","2","","1",""
"0xcaae92d079454c05738e3f497fdbe7af818925f4","0xcaae92d079454c05738e3f497fdbe7af818925f4","Ethereum","ethereum","","","5.365039689426995","290.021702707221","5","25.000000","1","0.000000"
"0x6de248f7b5bcdbd07859ec343a980d9fd4fb3be0","0x6de248f7b5bcdbd07859ec343a980d9fd4fb3be0","Ethereum","ethereum","","","5.364977160640685","1825.9598468789034","5","400.000000","5","400.000000"
"0x8ee125a8c615d46079d947e5049c584d74750609","0x8ee125a8c615d46079d947e5049c584d74750609","Ethereum","ethereum","","","5.364890610080032","","3","","3",""
"0x9637817684668060cb338119f9cd71274260eeae","0x9637817684668060cb338119f9cd71274260eeae","Ethereum","ethereum","","","5.364718092406071","","1","","1",""
"0x1d8c807cce5ef7e1d41e7d824fd463dae031e6a2","0x1d8c807cce5ef7e1d41e7d824fd463dae031e6a2","Ethereum","ethereum","","","5.364327655301817","181.04176633159534","4","-20.000000","4","300.000000"
"0x5042e257df9866ebfd0482b2c2f4bc5efddee2da","0x5042e257df9866ebfd0482b2c2f4bc5efddee2da","Ethereum","ethereum","","","5.3638301065921095","","3","","2",""
